gene_id	H1_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	hESC_Derived_CD184_Endoderm_Cultured_Cells	hESC_Derived_CD56_Ectoderm_Cultured_Cells	hESC_Derived_CD56_Mesoderm_Cultured_Cells	HUES64_Cell_Line	ESC_4star	Breast_Myoepithelial_Cells	Breast_vHMEC	CD4_Memory_Primary_Cells	CD4_Naive_Primary_Cells	CD8_Naive_Primary_Cells	Mobilized_CD34_Primary_Cells_Female	Neurosphere_Cultured_Cells_Cortex_Derived	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Peripheral_Blood_Mononuclear_Primary_Cells	Aorta	Adult_Liver	Brain_Germinal_Matrix	Brain_Hippocampus_Middle	Esophagus	Fetal_Brain_Female	Fetal_Intestine_Large	Fetal_Intestine_Small	Pancreatic_Islets	Gastric	Left_Ventricle	Lung	Ovary	Pancreas	Psoas_Muscle	Right_Atrium	Right_Ventricle	Sigmoid_Colon	Small_Intestine	Thymus	Spleen	A549_EtOH_002_pct_Lung_Carcinoma	GM12878_Lymphoblastoid	Hela_S3_Cervical_Carcinoma	HepG2_Hepatocellular_Carcinoma	HMEC_Mammary_Epithelial	HSMM_Skeletal_Muscle_Myoblasts	HUVEC_Umbillical_Vein_Endothelial_Cells	K562_Leukemia	NHEK_Epidermal_Keratinocytes	NHLF_Lung_Fibroblasts
ENSG00000108823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	19	0	0	0	0	4	56	8	1	1	58	76	83	1	2	2	1	0	0	0	0	0	29	0	0	0	0
ENSG00000145014	3	1	3	4	5	5	7	4	3	5	0	3	0	0	0	12	6	5	4	5	5	3	4	5	0	3	2	9	4	3	15	4	4	1	2	2	9	5	4	0	3	4	8	4	2	9	4	0	3	6	5	3	31	4	5	3
ENSG00000119335	485	638	166	155	404	203	287	186	464	197	72	126	59	62	64	163	70	75	84	73	89	118	44	75	56	128	66	77	121	59	71	84	80	55	92	74	77	91	43	94	54	79	77	100	115	118	146	173	220	50	88	92	33	197	101	89
ENSG00000237441	19	15	44	12	20	15	18	20	14	13	12	10	12	17	15	27	27	27	17	15	12	13	30	23	18	14	11	21	19	56	11	19	19	17	27	28	42	36	66	25	20	32	17	17	62	104	3	4	8	23	15	6	38	26	16	6
ENSG00000104055	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0
ENSG00000137959	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	2	3	4	0	0	5	11	0	1	3	2	6	1	8	1	0	0	0	0	1	0	2	5	0	0	1	1	4	2	13	7	0	152	1	0	0	0	0	0	7	0
ENSG00000175984	1	0	0	0	0	2	0	0	1	0	2	21	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	11	0	0	0	1	0	1	1	0	1	9	0	0	0	0	1	0	0	0	1	0	2	1	0	0	5	0
ENSG00000160999	4	1	33	1	6	3	2	2	4	6	1	1	0	0	0	1	6	6	1	1	1	0	7	4	8	0	0	18	1	1	28	0	0	1	2	0	4	1	5	9	0	1	2	1	2	24	0	2	0	1	1	4	0	0	0	0
ENSG00000247828	3	1	0	0	4	2	3	1	1	2	1	2	2	5	5	3	3	4	1	0	0	1	0	0	2	1	1	37	10	2	13	5	4	1	8	4	2	1	4	4	8	5	2	2	4	3	1	9	4	2	1	1	0	8	1	0
ENSG00000177595	8	4	10	3	13	10	9	7	6	8	2	1	11	18	18	5	10	8	7	13	6	4	9	5	12	6	1	8	6	12	6	4	4	3	16	3	10	6	55	5	5	7	12	9	21	22	2	2	1	8	4	1	16	8	1	1
ENSG00000238122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	0	0
ENSG00000224137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	112	0	46	0	0	0	0	0	0	0	0
ENSG00000135312	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	83	0	0	0
ENSG00000214093	0	0	0	0	0	0	0	0	0	0	0	0	6	14	12	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258944	1	0	0	0	0	0	0	0	0	1	1	4	2	5	2	2	0	1	1	2	1	1	0	0	6	0	0	0	1	1	0	28	24	1	1	0	2	0	3	0	0	0	2	1	2	2	1	2	1	1	0	0	2	1	1	0
ENSG00000179406	1	0	0	0	1	1	1	0	0	3	1	1	6	12	14	3	3	4	5	1	0	1	0	2	6	0	1	4	2	3	2	4	4	3	1	0	2	3	12	0	1	1	2	1	5	4	1	1	0	2	0	0	1	2	0	0
ENSG00000141524	36	23	16	18	9	17	6	58	24	15	1	16	149	206	214	36	0	0	0	0	12	7	57	34	138	7	7	2	31	20	0	27	27	5	19	22	75	5	49	1	12	23	74	35	89	168	2	16	6	58	4	1	12	50	15	0
ENSG00000106633	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	14	0	1	0	0	4	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	2	13	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244560	2	0	1	0	2	2	4	2	1	1	1	3	8	16	13	6	2	3	2	0	0	1	0	1	6	1	1	2	6	6	5	2	2	1	3	1	4	6	16	1	3	2	2	1	7	6	2	2	3	3	1	1	4	3	1	0
